feature,importance_pct,mi_score,f_score,rf_norm,mi_norm,f_norm,consensus_score,rank
pymfe_max.mean,0.29701713866707,0.28335149198858356,1.9145369463281323,0.009594420619671633,0.5742681969172574,0.201585043442676,0.23659374035584868,54
pymfe_max.sd,0.3883486016644073,0.2828643607545953,1.8310722288388999,0.012544662736132977,0.5732809285127706,0.19263848577459275,0.2347936893806622,55
tree_time,0.8519406642621143,0.3076309279996108,1.1513922625388664,0.027519883575120464,0.6234753065829524,0.11978379702388103,0.2339856845120982,56
pymfe_attr_to_inst,0.5237846388806883,0.3020169990162498,1.358034282933108,0.016919596499032928,0.6120975620993406,0.14193369230561867,0.23297721492110096,57
kurtosis_mean,0.8475073910832074,0.24906585341030585,2.1258933194602174,0.027376677402603865,0.5047815261101822,0.22424026875973352,0.22965720942201628,58
pymfe_lh_trace,1.2620711518890455,0.2581769989096787,1.710014334842965,0.04076815747912085,0.523247075950966,0.17966232695693357,0.2271800838640182,59
pymfe_nr_attr,0.5886000983651503,0.28920069233037804,1.3580342829331082,0.019013303224988128,0.5861227656372465,0.14193369230561867,0.2260222586728548,60
pymfe_inst_to_attr,0.5004792478391983,0.2243007454487871,2.510583686954345,0.016166772182693998,0.45459010556846297,0.26547511218427805,0.22248627419889988,61
n_features,0.7557899148155088,0.2671471209018066,1.3580342829331082,0.024413966060638427,0.5414268135849385,0.14193369230561867,0.2147737381914225,62
nb_time,0.6599163090258195,0.2968662718946644,0.8059622323883018,0.021317001001992644,0.6016585883845144,0.08275725721167307,0.21385155407965328,63
pymfe_can_cor.sd,0.34716482868193727,0.2278411054653564,2.1956282321924117,0.011214320512542316,0.46176534981681555,0.231715132834099,0.21252987300029125,64
pymfe_kurtosis.sd,0.2672277944883223,0.2722355641042469,1.375501841678022,0.008632147872322053,0.5517395565405994,0.14380603461184122,0.21211653649466097,65
class_prob_max,1.4440909036356784,0.2583909339250581,1.1603206759230114,0.04664786552284737,0.5236806578413494,0.12074083093747505,0.21198559284278629,66
pymfe_cov.mean,0.40732989132038855,0.21582570894809483,2.0421142003476924,0.013157807410816012,0.4374137572249131,0.2152600104773268,0.20106525327499836,67
pymfe_kurtosis.mean,0.14569095424252917,0.23954211831824734,1.5777329106872053,0.004706194065962609,0.4854797813378116,0.1654831213569343,0.19717134843480882,68
log_dimensionality,0.3540764755161014,0.2549717100464952,1.1760826070414676,0.011437584554473322,0.5167509200876558,0.12243034753746614,0.19632941410932592,69
pymfe_nr_outliers,1.6170633867785476,0.21920059547797344,1.2935130546572524,0.052235323426284994,0.4442536365165733,0.13501768148152435,0.19467552476994326,70
n_instances,0.4314778333822684,0.11500360162228462,3.4700409369347476,0.013937848300984424,0.23307768905371032,0.36831904283219036,0.18599415888616397,71
dimensionality,0.45102584527171075,0.2156083650581504,1.4598680901000718,0.014569299567356904,0.4369732665717197,0.15284922710626353,0.18277446793033772,72
tree_n_leaves,1.064157102156887,0.2335904522615464,0.7002685259174505,0.03437502256376028,0.4734175454517447,0.07142798097927079,0.17720366695480874,73
correlation_min,0.2667893465682421,0.2588993942081861,0.2756772833908565,0.008617984872220619,0.524711153809261,0.02591617490244155,0.168635392562399,74
class_entropy,1.701476984249301,0.2145419070644945,0.4156014666905636,0.05496210062099052,0.43481187717931996,0.040914605529272265,0.16470278506097388,75
pymfe_w_lambda,0.4991141070988434,0.2239740115816915,0.6423186060936905,0.01612267461133231,0.4539279143535448,0.06521634670840715,0.1621923481631185,76
pymfe_p_trace,0.6298373946437106,0.21659379045147054,0.655246650687881,0.02034537438926533,0.43897042727077557,0.06660209987425711,0.1598099078992159,77
pymfe_skewness.sd,0.30723962548056843,0.202604672120414,1.001172684942303,0.009924633343112107,0.410618694572782,0.10368180621541592,0.1582600035737042,78
class_imbalance_ratio,0.31825871685620855,0.16078931494920967,1.5006524435471411,0.010280578451124855,0.3258715503187255,0.15722088954095356,0.14903996333835365,79
pymfe_h_mean.sd,0.28245995329575807,0.10728474367556551,2.0674793574693378,0.009124185938542834,0.21743388705989047,0.21797889395019143,0.1342735086784417,80
pymfe_nr_bin,1.0017523740608327,0.029325167217413295,3.1403807220785054,0.03235918868731547,0.059433288259937996,0.3329828647223853,0.13066852136962318,81
tree_depth,0.07398753894080998,0.10400815150553733,1.7652671755725227,0.002389988579104063,0.2107932208530187,0.185584862140452,0.11986942032968284,82
pymfe_nr_norm,0.36455035594230206,0.14425302142974528,0.6143673291863554,0.011775917940822977,0.29235746011058233,0.062220257842710125,0.11108368256231692,83
class_prob_mean,0.2427918277141465,0.1054847876145264,0.9707590873991393,0.007842803040128516,0.21378591783816897,0.10042178195008619,0.09739943115252796,84
pymfe_h_mean.mean,0.2370345105357431,0.04127010191635838,2.0674178450210428,0.00765682682711146,0.08364207595227158,0.21797230044957788,0.09354704365139943,85
pymfe_g_mean.mean,0.0035434067324727975,0.025482284965882673,2.0674587130976354,0.00011446118823475656,0.05164492248828102,0.21797668108627105,0.08093226554765952,86
pymfe_g_mean.sd,0.12648843927569575,0.011343455821046788,2.0675093378068388,0.004085903242429179,0.022989771027659058,0.21798210753344469,0.07392592486530279,87
pymfe_nr_class,0.24481754275544662,0.060810251946296745,0.12538937384287285,0.007908238867330442,0.12324407926777736,0.009806859612898159,0.04307857721113483,88
pymfe_freq_class.mean,0.27488684433684907,0.0,1.0600127923489158,0.008879554961770071,0.0,0.1099888594223879,0.036548479811424395,89
n_classes,0.13783750696901076,0.0,0.12538937384287285,0.004452507437659961,0.0,0.009806859612898159,0.004723060858933432,90
pymfe_nr_disc,0.1064768882910379,0.00045416789645358335,0.03389868016890305,0.0034394784662009435,0.0009204616399359258,0.0,0.0016519298784611553,91
pymfe_cat_to_num,0.0,0.0,,0.0,0.0,,,92
pymfe_nr_cat,0.0,0.0,,0.0,0.0,,,93
pymfe_nr_inst,0.0,0.0037987534754777563,,0.0,0.007698930023575349,,,94
