feature,importance_pct,mi_score,f_score,rf_norm,mi_norm,f_norm,consensus_score,rank
nn_time,5.405092634543475,0.443482827009712,9.021770438589389,0.17459845063765242,0.8988062199471194,0.9634072386385184,0.6285034178307523,1
correlation_std,3.4844643105661794,0.3854109161385071,9.36315363897749,0.11255719578956593,0.7811119339085967,1.0,0.5793564584884053,2
pca_first_pc_variance,3.835975904126751,0.329677637880027,9.360138894852515,0.1239119280331201,0.6681573523421984,0.9996768504946766,0.5499150320643106,3
budget_seconds,30.957277196925247,0.0,1.329687500000003,1.0,0.0,0.1388952092693779,0.4416685627808134,4
pymfe_sparsity.mean,1.3526612997165575,0.3238219912390752,6.785662062199194,0.04369445320116548,0.6562897189138927,0.7237194622551659,0.43148053563118377,5
pymfe_nr_cor_attr,2.4080425533206893,0.31031130976369914,5.359324759785041,0.0777859931932212,0.6289076337322124,0.5708308008656067,0.3910359276566342,6
normalized_class_entropy,1.0450252259270716,0.4304978792956684,3.3017040873813635,0.03375701355385564,0.8724896388750525,0.35027506715603607,0.3803322172308688,7
kurtosis_min,1.022813818137564,0.48717233555135375,1.5942230904980919,0.03303952772174525,0.9873517049852593,0.16725069871264978,0.35959653219807086,8
class_prob_min,0.7357592825966417,0.3820141824435537,3.3612749479817157,0.02376692491126833,0.7742277769884434,0.3566604495754656,0.34877323793368,9
pca_95_percent_dims,1.1027517966034617,0.3467077661445075,3.6174406112251116,0.035621730864398814,0.7026722969541959,0.3841187690634036,0.3402860121510394,10
pymfe_min.sd,1.3428269759101115,0.3375494133444872,3.6518117967862627,0.04337677914527587,0.6841110721224887,0.38780300598402695,0.338924935090065,11
pymfe_sd_ratio,0.22352898108407993,0.4024077353639597,2.72950819672061,0.007220563348067361,0.8155593711231589,0.28894156376405383,0.3342385058053907,12
pymfe_skewness.mean,0.5293047773787224,0.4216898799143982,1.8825370089933318,0.017097911228164932,0.854638474980937,0.19815497989782813,0.3226772009548955,13
pymfe_sd.sd,0.2534132965095081,0.40784442562436607,1.9250510189093744,0.008185903911946034,0.8265779060570316,0.20271204368306653,0.31206134648680783,14
pymfe_mad.mean,0.4904148338775784,0.3925759827755746,2.0266163420098002,0.015841665620589127,0.795633367586548,0.213598799758323,0.30910631645169695,15
pymfe_mad.sd,0.44764860835612846,0.39288369701474024,1.9999407170233845,0.014460206093337886,0.7962570117397912,0.21073944763382899,0.3078830202494212,16
pymfe_min.mean,0.373826039562286,0.4934131709010692,0.0932508228727633,0.012075546476012926,1.0,0.006361938114663762,0.3067388000248043,17
pymfe_freq_class.sd,1.1478059880230023,0.29496940848464304,3.5058450821724736,0.037077097598783824,0.5978142171316,0.3721568782644743,0.3058221676583358,18
kurtosis_std,0.972889102531749,0.3331665282660463,2.8269677328363043,0.03142683047811384,0.6752282831397041,0.2993882217818706,0.3049556836677179,19
pymfe_iq_range.sd,0.5009836841661116,0.38519908509347656,1.9890830764165535,0.016183066778749863,0.7806826161329004,0.20957562044132855,0.3035506976837686,20
correlation_max,1.5718770773626247,0.3018639138983983,3.0606087575812557,0.050775688939424794,0.6117873046378871,0.3244321321237516,0.30117610660426153,21
pymfe_roy_root,2.6288485824308054,0.31729773904531844,2.2781147300017324,0.0849185981605614,0.6430670232532921,0.24055683543237966,0.2990545968699261,22
pca_95_percent_ratio,1.9389389887660484,0.3281866883461728,2.3462097845780754,0.06263273660768294,0.6651356463526087,0.24785592361005332,0.2989505656318718,23
correlation_mean,0.3378343206899578,0.40856258409987767,1.336578488156564,0.010912921008554084,0.8280333971502266,0.1396338521928468,0.29466534320634363,24
pymfe_sparsity.sd,0.8963452607059007,0.2647594771781978,3.7583480287229123,0.028954266714222784,0.5365877783414154,0.3992225922647148,0.2923248178675282,25
log_n_features,0.6468040757444035,0.3766510072135021,1.589418968839705,0.020893442004926894,0.7633582348960477,0.16673574637405483,0.2873855711830015,26
pymfe_mean.mean,0.4401669965627542,0.35591905534184454,2.0163611000757236,0.014218530711301467,0.7213408079315486,0.21249954349623598,0.285839517712856,27
class_prob_std,1.2000929540016392,0.29850877751351645,2.7946132085062096,0.038766101629920974,0.6049874529461403,0.29592015016490336,0.2857787215852815,28
pymfe_nr_num,0.6569779876613208,0.38488186663655233,1.3580342829331082,0.021222085633764116,0.7800397097906459,0.14193369230561867,0.285080854882385,29
pymfe_cor.sd,0.4616877575843232,0.3220695049454274,2.5667958557238877,0.014913706869226185,0.6527379566241925,0.2715004774484643,0.28323701296948756,30
kurtosis_max,0.6900280256255404,0.2982871714507376,2.919419068673981,0.022289687211059884,0.6045383241513532,0.3092980523359584,0.28306678783061745,31
pymfe_range.mean,0.2895635546916834,0.3500561017170907,1.999960530649534,0.009353650608537482,0.709458365446183,0.21074157145038636,0.27980144131238577,32
pymfe_t_mean.sd,0.4193952589844334,0.34174259852989186,2.010037117895534,0.013547549944931488,0.6926093965140876,0.21182167777082578,0.2767483422634466,33
pymfe_iq_range.mean,0.336878435651698,0.34175066226275397,2.0200385114275656,0.010882043453264604,0.6926257392737415,0.21289372409994753,0.27600865639341254,34
skewness_std,0.3997681504895443,0.29054339801285,2.9420416930373454,0.0129135436539377,0.5888440259554905,0.3117229645570575,0.27533551461533945,35
skewness_min,0.30761493421591635,0.3892702509219421,1.0896225135815294,0.009936756784491027,0.788933644010877,0.11316271643062159,0.27460361084624596,36
pymfe_median.sd,0.26985346651181774,0.33437371741101085,2.01353569205865,0.008716963859425603,0.6776748922214194,0.21219668887070067,0.27044825987140625,37
