feature1,feature2,correlation
pymfe_max.mean,pymfe_range.sd,0.9999595730698394
pymfe_eigenvalues.sd,pymfe_mad.mean,0.9999483645232854
pymfe_mad.mean,pymfe_var.sd,0.9999483009176476
pymfe_mad.mean,pymfe_var.mean,0.999947896414347
pymfe_eigenvalues.mean,pymfe_mad.mean,0.9999478964143469
pymfe_g_mean.sd,pymfe_mad.mean,0.999945109837891
pymfe_h_mean.sd,pymfe_mad.mean,0.9999450751152636
pymfe_g_mean.mean,pymfe_mad.mean,0.999945051094016
pymfe_h_mean.mean,pymfe_mad.mean,0.9999450032731679
pymfe_eigenvalues.sd,pymfe_mad.sd,0.99994333094472
pymfe_mad.sd,pymfe_var.sd,0.9999432536213257
pymfe_eigenvalues.sd,pymfe_median.mean,0.9999428010883508
pymfe_mad.sd,pymfe_var.mean,0.9999427873355771
pymfe_eigenvalues.mean,pymfe_mad.sd,0.9999427873355771
pymfe_median.mean,pymfe_var.sd,0.9999427227057485
pymfe_eigenvalues.sd,pymfe_median.sd,0.9999425567622807
pymfe_median.sd,pymfe_var.sd,0.999942473050026
pymfe_median.mean,pymfe_var.mean,0.9999423514886794
pymfe_eigenvalues.mean,pymfe_median.mean,0.9999423514886794
pymfe_median.sd,pymfe_var.mean,0.9999420743627152
pymfe_eigenvalues.mean,pymfe_median.sd,0.9999420743627151
pymfe_g_mean.sd,pymfe_median.mean,0.9999409880843954
pymfe_h_mean.sd,pymfe_median.mean,0.9999409584535534
pymfe_g_mean.mean,pymfe_median.mean,0.999940937938465
pymfe_h_mean.mean,pymfe_median.mean,0.9999408970584259
pymfe_g_mean.sd,pymfe_median.sd,0.9999408157890609
pymfe_h_mean.sd,pymfe_median.sd,0.9999407909197444
pymfe_g_mean.mean,pymfe_median.sd,0.9999407736834028
pymfe_h_mean.mean,pymfe_median.sd,0.9999407392939821
pymfe_g_mean.sd,pymfe_mad.sd,0.9999400924912724
pymfe_h_mean.sd,pymfe_mad.sd,0.9999400635946172
pymfe_g_mean.mean,pymfe_mad.sd,0.999940043585085
pymfe_h_mean.mean,pymfe_mad.sd,0.9999400037058451
pymfe_eigenvalues.sd,pymfe_t_mean.sd,0.9999396079070725
pymfe_t_mean.sd,pymfe_var.sd,0.9999395224539527
pymfe_eigenvalues.sd,pymfe_t_mean.mean,0.9999393027033432
pymfe_t_mean.mean,pymfe_var.sd,0.999939222259806
pymfe_t_mean.sd,pymfe_var.mean,0.9999391028713023
pymfe_eigenvalues.mean,pymfe_t_mean.sd,0.9999391028713022
pymfe_eigenvalues.mean,pymfe_t_mean.mean,0.999938827440611
pymfe_t_mean.mean,pymfe_var.mean,0.9999388274406107
pymfe_g_mean.sd,pymfe_t_mean.sd,0.9999376257075043
pymfe_h_mean.sd,pymfe_t_mean.sd,0.9999375996576725
pymfe_g_mean.mean,pymfe_t_mean.sd,0.9999375816084379
pymfe_h_mean.mean,pymfe_t_mean.sd,0.9999375456098113
pymfe_g_mean.sd,pymfe_t_mean.mean,0.9999372176130292
pymfe_h_mean.sd,pymfe_t_mean.mean,0.9999371865266556
pymfe_g_mean.mean,pymfe_t_mean.mean,0.9999371650093024
pymfe_h_mean.mean,pymfe_t_mean.mean,0.9999371221451752
pymfe_eigenvalues.sd,pymfe_mean.sd,0.9999369340451841
pymfe_mean.sd,pymfe_var.sd,0.9999368520817279
pymfe_mean.sd,pymfe_var.mean,0.9999363641552331
pymfe_eigenvalues.mean,pymfe_mean.sd,0.999936364155233
pymfe_eigenvalues.sd,pymfe_iq_range.mean,0.9999351938544222
pymfe_eigenvalues.sd,pymfe_mean.mean,0.9999351631173075
pymfe_iq_range.mean,pymfe_var.sd,0.9999351291016407
pymfe_mean.mean,pymfe_var.sd,0.9999350856636198
pymfe_iq_range.mean,pymfe_var.mean,0.9999346665564102
pymfe_eigenvalues.mean,pymfe_iq_range.mean,0.99993466655641
pymfe_mean.mean,pymfe_var.mean,0.9999346157924277
pymfe_eigenvalues.mean,pymfe_mean.mean,0.9999346157924277
pymfe_g_mean.sd,pymfe_mean.sd,0.9999336039058283
pymfe_h_mean.sd,pymfe_mean.sd,0.9999335733593687
pymfe_g_mean.mean,pymfe_mean.sd,0.9999335522137958
pymfe_h_mean.mean,pymfe_mean.sd,0.9999335100856472
pymfe_cov.sd,pymfe_t_mean.sd,0.9999327235148755
pymfe_max.sd,pymfe_range.sd,0.9999318632560129
pymfe_eigenvalues.sd,pymfe_iq_range.sd,0.9999317300321017
pymfe_g_mean.sd,pymfe_mean.mean,0.9999316504658716
pymfe_iq_range.sd,pymfe_var.sd,0.9999316504164223
pymfe_h_mean.sd,pymfe_mean.mean,0.9999316145990294
pymfe_g_mean.mean,pymfe_mean.mean,0.9999315897898869
pymfe_h_mean.mean,pymfe_mean.mean,0.9999315404093227
pymfe_eigenvalues.mean,pymfe_iq_range.sd,0.9999311181084078
pymfe_iq_range.sd,pymfe_var.mean,0.9999311181084078
pymfe_g_mean.sd,pymfe_iq_range.mean,0.9999309961121219
pymfe_h_mean.sd,pymfe_iq_range.mean,0.9999309551048949
pymfe_g_mean.mean,pymfe_iq_range.mean,0.9999309267561274
pymfe_h_mean.mean,pymfe_iq_range.mean,0.9999308703685081
pymfe_cov.sd,pymfe_median.sd,0.9999300234834794
pymfe_g_mean.sd,pymfe_iq_range.sd,0.9999275237622661
pymfe_h_mean.sd,pymfe_iq_range.sd,0.9999274901821934
pymfe_g_mean.mean,pymfe_iq_range.sd,0.9999274669477012
pymfe_h_mean.mean,pymfe_iq_range.sd,0.9999274206843215
pymfe_max.mean,pymfe_max.sd,0.9999261489232872
pymfe_cov.sd,pymfe_mean.sd,0.9999241820766994
pymfe_cov.sd,pymfe_mad.sd,0.999916990825796
pymfe_cov.sd,pymfe_t_mean.mean,0.9999165058656555
pymfe_cov.sd,pymfe_iq_range.sd,0.9999146269117185
pymfe_cov.sd,pymfe_median.mean,0.9999134083414679
pymfe_cov.sd,pymfe_mean.mean,0.999908208424874
pymfe_iq_range.mean,pymfe_sd.mean,0.9998911257559988
pymfe_cov.sd,pymfe_mad.mean,0.9998803827303451
pymfe_cov.mean,pymfe_cov.sd,0.9998771005640192
pymfe_iq_range.sd,pymfe_sd.mean,0.9998748064576932
pymfe_iq_range.sd,pymfe_sd.sd,0.9998742829990964
pymfe_cov.sd,pymfe_iq_range.mean,0.9998727317717103
pymfe_mean.mean,pymfe_sd.mean,0.9998690956339538
pymfe_iq_range.mean,pymfe_sd.sd,0.9998687206952331
pymfe_mad.mean,pymfe_sd.mean,0.9998680803928409
pymfe_mad.sd,pymfe_sd.mean,0.9998512993711245
pymfe_mean.sd,pymfe_sd.mean,0.9998500385519026
pymfe_mean.mean,pymfe_sd.sd,0.9998498393156563
pymfe_mad.sd,pymfe_sd.sd,0.9998467512491441
pymfe_mean.sd,pymfe_sd.sd,0.999846482363499
pymfe_mad.mean,pymfe_sd.sd,0.9998445738335721
pymfe_sd.mean,pymfe_t_mean.mean,0.9998231662326603
pymfe_cov.mean,pymfe_sd.mean,0.9998172445651965
pymfe_median.mean,pymfe_sd.mean,0.9998163812783739
pymfe_sd.mean,pymfe_t_mean.sd,0.9998053782791508
pymfe_median.sd,pymfe_sd.mean,0.9997995577835542
pymfe_sd.sd,pymfe_t_mean.mean,0.9997987587169206
pymfe_sd.sd,pymfe_t_mean.sd,0.9997972908124068
pymfe_max.mean,pymfe_range.mean,0.9997951831362213
pymfe_median.mean,pymfe_sd.sd,0.9997906360834993
pymfe_cov.mean,pymfe_sd.sd,0.9997900933843896
pymfe_median.sd,pymfe_sd.sd,0.999789958921948
pymfe_range.mean,pymfe_range.sd,0.9997856218460749
pymfe_eigenvalues.sd,pymfe_sd.mean,0.9997854212963136
pymfe_sd.mean,pymfe_var.sd,0.9997853871209798
pymfe_eigenvalues.mean,pymfe_sd.mean,0.9997846401318689
pymfe_sd.mean,pymfe_var.mean,0.9997846401318686
pymfe_g_mean.sd,pymfe_sd.mean,0.9997743950994133
pymfe_h_mean.sd,pymfe_sd.mean,0.9997743268309255
pymfe_g_mean.mean,pymfe_sd.mean,0.9997742797103032
pymfe_h_mean.mean,pymfe_sd.mean,0.9997741861618943
