rank,feature,importance,importance_pct
1,budget_seconds,0.3095727719692525,30.957277196925247
2,nn_time,0.05405092634543475,5.405092634543475
3,pca_first_pc_variance,0.03835975904126751,3.835975904126751
4,correlation_std,0.03484464310566179,3.4844643105661794
5,pymfe_roy_root,0.026288485824308053,2.6288485824308054
6,pymfe_nr_cor_attr,0.02408042553320689,2.4080425533206893
7,pca_95_percent_ratio,0.019389389887660483,1.9389389887660484
8,class_entropy,0.01701476984249301,1.701476984249301
9,pymfe_nr_outliers,0.016170633867785476,1.6170633867785476
10,correlation_max,0.015718770773626246,1.5718770773626247
11,class_prob_max,0.014440909036356784,1.4440909036356784
12,pymfe_sparsity.mean,0.013526612997165574,1.3526612997165575
13,pymfe_min.sd,0.013428269759101115,1.3428269759101115
14,pymfe_lh_trace,0.012620711518890455,1.2620711518890455
15,class_prob_std,0.012000929540016391,1.2000929540016392
16,pymfe_freq_class.sd,0.011478059880230023,1.1478059880230023
17,pca_95_percent_dims,0.011027517966034616,1.1027517966034617
18,tree_n_leaves,0.01064157102156887,1.064157102156887
19,normalized_class_entropy,0.010450252259270716,1.0450252259270716
20,kurtosis_min,0.01022813818137564,1.022813818137564
21,skewness_mean,0.010020452819876265,1.0020452819876264
22,pymfe_nr_bin,0.010017523740608327,1.0017523740608327
23,kurtosis_std,0.00972889102531749,0.972889102531749
24,pymfe_sparsity.sd,0.008963452607059007,0.8963452607059007
25,skewness_max,0.008739460810971425,0.8739460810971424
26,pymfe_can_cor.mean,0.008556621927191425,0.8556621927191425
27,tree_time,0.008519406642621144,0.8519406642621143
28,kurtosis_mean,0.008475073910832074,0.8475073910832074
29,pymfe_gravity,0.008251835741835353,0.8251835741835353
30,n_features,0.007557899148155089,0.7557899148155088
31,class_prob_min,0.007357592825966416,0.7357592825966417
32,kurtosis_max,0.006900280256255405,0.6900280256255404
33,nb_time,0.006599163090258196,0.6599163090258195
34,pymfe_nr_num,0.006569779876613208,0.6569779876613208
35,log_n_features,0.006468040757444034,0.6468040757444035
36,log_n_instances,0.006454545967011439,0.6454545967011439
37,pymfe_p_trace,0.006298373946437106,0.6298373946437106
38,pymfe_nr_attr,0.005886000983651503,0.5886000983651503
39,pymfe_skewness.mean,0.005293047773787224,0.5293047773787224
40,pymfe_attr_to_inst,0.0052378463888068825,0.5237846388806883
41,pymfe_iq_range.sd,0.005009836841661116,0.5009836841661116
42,pymfe_inst_to_attr,0.005004792478391982,0.5004792478391983
43,pymfe_w_lambda,0.004991141070988434,0.4991141070988434
44,pymfe_cov.sd,0.004978984454606765,0.4978984454606765
45,pymfe_t_mean.mean,0.004941837688334618,0.49418376883346177
46,pymfe_mad.mean,0.004904148338775784,0.4904148338775784
47,pymfe_eigenvalues.mean,0.004686326124781169,0.46863261247811694
48,pymfe_cor.sd,0.004616877575843232,0.4616877575843232
49,dimensionality,0.004510258452717107,0.45102584527171075
50,pymfe_mad.sd,0.004476486083561285,0.44764860835612846
51,pymfe_mean.mean,0.004401669965627542,0.4401669965627542
52,pymfe_var.mean,0.004384809941590278,0.4384809941590278
53,n_instances,0.004314778333822684,0.4314778333822684
54,pymfe_range.sd,0.004273232567009017,0.4273232567009017
55,pymfe_var.sd,0.0042675414314573435,0.42675414314573434
56,pymfe_cor.mean,0.004264164915494835,0.4264164915494835
57,pymfe_t_mean.sd,0.004193952589844334,0.4193952589844334
58,pymfe_cov.mean,0.004073298913203885,0.40732989132038855
59,pymfe_mean.sd,0.004010856296601904,0.4010856296601904
60,skewness_std,0.003997681504895443,0.3997681504895443
61,pymfe_max.sd,0.0038834860166440735,0.3883486016644073
62,pymfe_sd.mean,0.0037737055849244366,0.37737055849244366
63,pymfe_min.mean,0.0037382603956228598,0.373826039562286
64,pymfe_nr_norm,0.0036455035594230205,0.36455035594230206
65,pymfe_median.mean,0.0036117899279945378,0.36117899279945376
66,log_dimensionality,0.003540764755161014,0.3540764755161014
67,pymfe_can_cor.sd,0.003471648286819373,0.34716482868193727
68,correlation_mean,0.003378343206899578,0.3378343206899578
69,pymfe_iq_range.mean,0.00336878435651698,0.336878435651698
70,pymfe_eigenvalues.sd,0.003290977067750279,0.3290977067750279
71,class_imbalance_ratio,0.0031825871685620855,0.31825871685620855
72,skewness_min,0.0030761493421591632,0.30761493421591635
73,pymfe_skewness.sd,0.003072396254805684,0.30723962548056843
74,pymfe_max.mean,0.0029701713866707004,0.29701713866707
75,pymfe_range.mean,0.002895635546916834,0.2895635546916834
76,pymfe_h_mean.sd,0.002824599532957581,0.28245995329575807
77,pymfe_freq_class.mean,0.0027488684433684906,0.27488684433684907
78,pymfe_median.sd,0.0026985346651181774,0.26985346651181774
79,pymfe_kurtosis.sd,0.002672277944883223,0.2672277944883223
80,correlation_min,0.002667893465682421,0.2667893465682421
81,pymfe_sd.sd,0.0025341329650950812,0.2534132965095081
82,pymfe_nr_class,0.002448175427554466,0.24481754275544662
83,class_prob_mean,0.002427918277141465,0.2427918277141465
84,pymfe_h_mean.mean,0.002370345105357431,0.2370345105357431
85,pymfe_sd_ratio,0.002235289810840799,0.22352898108407993
86,pymfe_kurtosis.mean,0.0014569095424252917,0.14569095424252917
87,n_classes,0.0013783750696901075,0.13783750696901076
88,pymfe_g_mean.sd,0.0012648843927569576,0.12648843927569575
89,pymfe_nr_disc,0.001064768882910379,0.1064768882910379
90,tree_depth,0.0007398753894080998,0.07398753894080998
91,pymfe_g_mean.mean,3.543406732472797e-05,0.0035434067324727975
92,pymfe_nr_inst,0.0,0.0
93,pymfe_nr_cat,0.0,0.0
