mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__alpha,param_clf__hidden_layer_sizes,param_clf__learning_rate_init,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,dataset,method,run_seed,iter,n_resources,param_clf__max_iter,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
6.994854927062988,0.5759932080225978,0.03137723604838053,0.0035863667003332364,0.0015676677195506068,"(50,)",0.006431172050131994,"{'clf__alpha': np.float64(0.0015676677195506068), 'clf__hidden_layer_sizes': (50,), 'clf__learning_rate_init': np.float64(0.006431172050131994)}",0.7548695559994193,0.7660205478674049,0.7631618606948944,0.7613506548539061,0.004729094688471413,10,adult,random_search,0,,,,,,,,
8.86747145652771,0.7484318753995268,0.03194324175516764,0.004307680778077312,0.0015119336467641006,"(100,)",0.0074249082318150125,"{'clf__alpha': np.float64(0.0015119336467641006), 'clf__hidden_layer_sizes': (100,), 'clf__learning_rate_init': np.float64(0.0074249082318150125)}",0.7451051802879791,0.7540412328578879,0.7570810196892492,0.7520758109450387,0.005082804003886321,14,adult,random_search,0,,,,,,,,
1.9287770589192708,0.20568805854713418,0.025510311126708984,0.003052683338497102,0.0003447679044520655,"(50,)",0.07780155576901421,"{'clf__alpha': np.float64(0.0003447679044520655), 'clf__hidden_layer_sizes': (50,), 'clf__learning_rate_init': np.float64(0.07780155576901421)}",0.7799024327810729,0.7861357912536782,0.7978100531932388,0.7879494257426632,0.007422383702974994,2,adult,random_search,0,,,,,,,,
9.759072383244833,0.035203487482989314,0.025078217188517254,0.002806981226865994,0.0003417952912061009,"(50,)",0.0015078369731868308,"{'clf__alpha': np.float64(0.0003417952912061009), 'clf__hidden_layer_sizes': (50,), 'clf__learning_rate_init': np.float64(0.0015078369731868308)}",0.7482062352582984,0.7555834606107388,0.7649139907221891,0.7562345621970755,0.006836432944993557,12,adult,random_search,0,,,,,,,,
9.475351810455322,0.04154539438976198,0.027379592259724934,0.005922263103263569,0.022096070868729552,"(50,)",0.00018255254802399022,"{'clf__alpha': np.float64(0.022096070868729552), 'clf__hidden_layer_sizes': (50,), 'clf__learning_rate_init': np.float64(0.00018255254802399022)}",0.7895931224398579,0.7906322960165699,0.7961858169948377,0.7921370784837553,0.002894153080376153,1,adult,random_search,0,,,,,,,,
4.3131749629974365,0.5061593789469517,0.029390652974446613,0.0028442919756421323,1.2046852412030316e-05,"(100, 50)",0.0743815932792041,"{'clf__alpha': np.float64(1.2046852412030316e-05), 'clf__hidden_layer_sizes': (100, 50), 'clf__learning_rate_init': np.float64(0.0743815932792041)}",0.7799969801663398,0.7753063380462639,0.7911447902031706,0.7821493694719247,0.006642726672772921,6,adult,random_search,0,,,,,,,,
2.620429039001465,0.6578187105120115,0.02555052439371745,0.0024016935488085974,3.642529868570474e-05,"(50,)",0.08626905220714905,"{'clf__alpha': np.float64(3.642529868570474e-05), 'clf__hidden_layer_sizes': (50,), 'clf__learning_rate_init': np.float64(0.08626905220714905)}",0.7857044745120059,0.7756356072355219,0.7963835648549422,0.7859078822008234,0.008471539307596053,3,adult,random_search,0,,,,,,,,
12.374429941177368,1.6357141716560526,0.034857749938964844,0.0023811810871771756,0.015726578854179506,"(100, 50)",0.003642775765463243,"{'clf__alpha': np.float64(0.015726578854179506), 'clf__hidden_layer_sizes': (100, 50), 'clf__learning_rate_init': np.float64(0.003642775765463243)}",0.755148597184195,0.7445392705103613,0.7516724909854453,0.7504534528933339,0.004416181874315115,17,adult,random_search,0,,,,,,,,
6.907158772150676,0.41550982726760716,0.026274442672729492,0.005353401128269665,0.005194193452752133,"(50,)",0.005572619319129041,"{'clf__alpha': np.float64(0.005194193452752133), 'clf__hidden_layer_sizes': (50,), 'clf__learning_rate_init': np.float64(0.005572619319129041)}",0.766104180528985,0.7634437993882904,0.7637545614324537,0.7644341804499097,0.0011876639423974926,8,adult,random_search,0,,,,,,,,
8.54854162534078,1.6629835753595867,0.023914337158203125,0.0018545562722955917,0.0014108892283675807,"(50,)",0.0036774346621052147,"{'clf__alpha': np.float64(0.0014108892283675807), 'clf__hidden_layer_sizes': (50,), 'clf__learning_rate_init': np.float64(0.0036774346621052147)}",0.7580922740463474,0.7646079173448896,0.7697442296789176,0.7641481403567182,0.0047679879526543465,9,adult,random_search,0,,,,,,,,
17.753145694732666,0.15835001366405935,0.035906314849853516,0.0024919139057212472,0.00045566719139214756,"(100, 50)",0.00036224052114559646,"{'clf__alpha': np.float64(0.00045566719139214756), 'clf__hidden_layer_sizes': (100, 50), 'clf__learning_rate_init': np.float64(0.00036224052114559646)}",0.762451916742874,0.746793860203032,0.7544616295499167,0.7545691354986076,0.006392826802908391,13,adult,random_search,0,,,,,,,,
10.646077950795492,2.1872415775917085,0.034463087717692055,0.000608065582687834,0.008864876884973135,"(100, 100)",0.005073432032394334,"{'clf__alpha': np.float64(0.008864876884973135), 'clf__hidden_layer_sizes': (100, 100), 'clf__learning_rate_init': np.float64(0.005073432032394334)}",0.7482992171592953,0.746789732825434,0.7537080635317173,0.7495990045054821,0.0029701751126104876,19,adult,random_search,0,,,,,,,,
9.235119660695394,0.3633157475489059,0.029984235763549805,0.0051761830497215194,1.1889379831773006e-05,"(50,)",0.0070925432147358365,"{'clf__alpha': np.float64(1.1889379831773006e-05), 'clf__hidden_layer_sizes': (50,), 'clf__learning_rate_init': np.float64(0.0070925432147358365)}",0.7481870820978209,0.7478594856576006,0.7531026471033024,0.7497164049529079,0.0023981669086675654,18,adult,random_search,0,,,,,,,,
