dataset,budget_level,budget_seconds,method,run,seed,best_score,configs_evaluated,time_used
adult,very_low,60,random_search,0,0,0.7827790903785621,7,57.5393500328064
adult,very_low,60,random_search,1,1,0.779802330910977,5,64.34062170982361
adult,very_low,60,random_search,2,2,0.7782944763750462,7,65.33072400093079
adult,very_low,60,random_search,3,3,0.7802212684734933,8,66.02548503875732
adult,very_low,60,random_search,4,4,0.7816466480445383,6,57.43589496612549
adult,very_low,60,random_search,5,5,0.7834192596436854,6,58.567286014556885
adult,very_low,60,random_search,6,6,0.778065667966971,8,58.02947497367859
adult,very_low,60,random_search,7,7,0.7814757747017066,11,64.56107711791992
adult,very_low,60,random_search,8,8,0.781756423881753,10,68.4972882270813
adult,very_low,60,random_search,9,9,0.7864716482632895,10,57.49700903892517
adult,very_low,60,sha,0,0,0.7810413586539969,34,60.53519630432129
adult,very_low,60,sha,1,1,0.7779806342129167,37,62.92850303649902
adult,very_low,60,sha,2,2,0.7829846077217962,38,64.71172022819519
adult,very_low,60,sha,3,3,0.7810480756955968,36,61.94221591949463
adult,very_low,60,sha,4,4,0.7807377141966253,37,63.186513900756836
adult,very_low,60,sha,5,5,0.7829883643975898,36,65.98434901237488
adult,very_low,60,sha,6,6,0.7812744217729545,34,63.95216393470764
adult,very_low,60,sha,7,7,0.7794738707959682,37,66.77069783210754
adult,very_low,60,sha,8,8,0.7803095578354692,37,60.63969302177429
adult,very_low,60,sha,9,9,0.7811142867320768,37,74.19731879234314
adult,very_low,60,hyperband,0,0,0.7771509381088199,97,60.168195962905884
adult,very_low,60,hyperband,1,1,0.781553738953388,96,60.541133880615234
adult,very_low,60,hyperband,2,2,0.7823180659764203,96,60.00260901451111
adult,very_low,60,hyperband,3,3,0.7806122162968299,98,60.14763593673706
adult,very_low,60,hyperband,4,4,0.7762311714898567,93,60.29707098007202
adult,very_low,60,hyperband,5,5,0.782574996363938,95,62.79473114013672
adult,very_low,60,hyperband,6,6,0.7810430061531622,102,60.04742097854614
adult,very_low,60,hyperband,7,7,0.7827719258951339,102,60.98070192337036
adult,very_low,60,hyperband,8,8,0.7803095578354692,97,60.18208384513855
adult,very_low,60,hyperband,9,9,0.7801469404911471,107,60.07530093193054
adult,low,120,random_search,0,0,0.7827790903785621,14,116.34244012832642
adult,low,120,random_search,1,1,0.779802330910977,13,126.25681185722351
adult,low,120,random_search,2,2,0.7812469824607798,14,114.55986714363098
adult,low,120,random_search,3,3,0.7802212684734933,17,121.82594680786133
adult,low,120,random_search,4,4,0.7827932977511279,14,124.46297693252563
adult,low,120,random_search,5,5,0.7834192596436854,15,123.88510513305664
adult,low,120,random_search,6,6,0.778065667966971,13,119.49589681625366
adult,low,120,random_search,7,7,0.7841501184160512,19,115.01650500297546
adult,low,120,random_search,8,8,0.781756423881753,13,122.44992184638977
adult,low,120,random_search,9,9,0.7864716482632895,15,119.35850405693054
adult,low,120,sha,0,0,0.7827790903785621,40,118.12860012054443
adult,low,120,sha,1,1,0.7779806342129167,40,74.90014600753784
adult,low,120,sha,2,2,0.7829846077217962,40,73.75997710227966
adult,low,120,sha,3,3,0.7810480756955968,40,99.08666706085205
