method,mean_score,std_score,min_score,max_score,mean_configs,mean_time
hyperband,0.8772872555241648,0.0028655270716496546,0.8727721962254463,0.8808023046510879,206.0,515.523275065422
random_search,0.8771662995103562,0.004422032261270939,0.8700452309853445,0.884622319942617,20.0,341.0673592567444
sha,0.8726669766649773,0.006211661578831916,0.8647453916700513,0.881875726343781,40.0,104.51601424217225
