dataset,budget_level,budget_seconds,method,run,seed,best_score,configs_evaluated,time_used
adult,high,600,random_search,2,2,0.782639681174726,69,571.103964805603
adult,high,600,random_search,3,3,0.7824707096428843,73,572.562922000885
adult,high,600,random_search,4,4,0.7859289101843733,71,572.9371230602264
adult,high,600,random_search,5,5,0.7866828351802161,71,592.7805199623108
adult,high,600,random_search,6,6,0.7844876488938373,68,589.0294260978699
adult,high,600,random_search,7,7,0.7848087135373794,79,574.4139089584351
adult,high,600,random_search,8,8,0.7840350758652462,69,573.0121920108795
adult,high,600,random_search,9,9,0.7864716482632895,76,570.9662516117096
adult,high,600,sha,0,0,0.7827790903785621,40,118.84972500801086
adult,high,600,sha,1,1,0.7779806342129167,40,74.66921710968018
adult,high,600,sha,2,2,0.7829846077217962,40,73.79453611373901
adult,high,600,sha,3,3,0.7810480756955968,40,98.97339630126952
adult,high,600,sha,4,4,0.7827932977511279,40,101.93365001678468
adult,high,600,sha,5,5,0.7829883643975898,40,105.41481494903564
adult,high,600,sha,6,6,0.7812744217729545,40,130.13255500793457
adult,high,600,sha,7,7,0.780152401551963,40,93.13308691978456
adult,high,600,sha,8,8,0.7803095578354692,40,82.16561722755432
adult,high,600,sha,9,9,0.7811142867320768,40,100.47838187217712
adult,high,600,hyperband,0,0,0.7819695905770274,206,424.3136749267578
adult,high,600,hyperband,1,1,0.7822246168039113,206,455.99941086769104
adult,high,600,hyperband,2,2,0.7862952760585938,206,458.05371618270874
adult,high,600,hyperband,3,3,0.7830649164928486,206,458.30204010009766
adult,high,600,hyperband,4,4,0.7841146143382124,206,421.0404779911041
adult,high,600,hyperband,5,5,0.7837247138236619,206,500.5195498466492
adult,high,600,hyperband,6,6,0.7852669468999678,206,405.98666191101074
adult,high,600,hyperband,7,7,0.7827719258951339,206,397.1425688266754
adult,high,600,hyperband,8,8,0.7851865462596828,206,511.0285449028015
adult,high,600,hyperband,9,9,0.7823493601398009,206,473.66024804115295
fashion_mnist,very_low,60,random_search,0,0,0.8853226094266398,3,73.28591203689575
fashion_mnist,very_low,60,random_search,1,1,0.884650054068576,1,107.11856293678284
fashion_mnist,very_low,60,random_search,2,2,0.8831233684957791,3,61.985873222351074
fashion_mnist,very_low,60,random_search,3,3,0.8807021694621465,3,73.68853497505188
fashion_mnist,very_low,60,random_search,4,4,0.8842591486789554,3,59.01178002357483
fashion_mnist,very_low,60,random_search,5,5,0.8875193144098441,1,126.2083330154419
fashion_mnist,very_low,60,random_search,6,6,0.8854094527452423,4,109.63315105438232
fashion_mnist,very_low,60,random_search,7,7,0.8815931585060146,3,92.74980092048644
fashion_mnist,very_low,60,random_search,8,8,0.8808159784316801,2,65.52574300765991
fashion_mnist,very_low,60,random_search,9,9,0.8828470884024505,4,74.84988307952881
fashion_mnist,very_low,60,sha,0,0,0.8736664257131411,15,66.38923406600952
fashion_mnist,very_low,60,sha,1,1,0.8712361631502458,15,64.33898186683655
fashion_mnist,very_low,60,sha,2,2,0.8754697977378966,14,60.54084277153015
fashion_mnist,very_low,60,sha,3,3,0.8708971084392907,16,60.22557592391968
fashion_mnist,very_low,60,sha,4,4,0.8750128174973292,14,63.850385904312134
fashion_mnist,very_low,60,sha,5,5,0.8704790218296979,18,68.30603098869324
fashion_mnist,very_low,60,sha,6,6,0.8687511538903449,15,61.96290993690491
fashion_mnist,very_low,60,sha,7,7,0.8731626824004058,17,60.097625732421875
