dataset,seed,f1_macro,training_time
fashion_mnist,0,0.8840665482095018,2.881448984146118
fashion_mnist,1,0.886486196133648,2.8651931285858154
fashion_mnist,2,0.8871210031238632,3.2528648376464844
fashion_mnist,3,0.8856084016388825,4.753506660461426
fashion_mnist,4,0.8892687833623573,4.382232904434204
fashion_mnist,5,0.8855246993619635,4.652431011199951
fashion_mnist,6,0.8850601299027296,3.9851930141448975
fashion_mnist,7,0.888392317261083,4.851578950881958
fashion_mnist,8,0.8891433479159583,4.645949840545654
fashion_mnist,9,0.8826465986823893,2.8008639812469482
